,RANK,SEAT CATEGORY,Allotment
0,144,OC_GEN_UR,MVSR_CSE
1,233,OC_GEN_UR,MVSR_CSE
2,243,BC_B_GEN_UR,MVSR_CSE
3,286,EWS_GEN_UR,MVSR_CSE
4,318,BC_D_GEN_OU,JNTH_CSE
5,362,OC_GEN_UR,JNTH_CSE
6,467,OC_GEN_UR,CVRH_CSM
7,483,OC_GEN_UR,CVRH_CSE
8,503,OC_GIRLS_UR,JNTH_CSE
9,517,OC_GEN_UR,CVRH_CSE
10,527,OC_GIRLS_UR,JNTH_CSE
11,543,OC_GEN_OU,CVRH_CSE
12,544,OC_GEN_UR,VASV_CSE
13,546,OC_GEN_OU,JNTH_CSE
14,551,OC_GEN_OU,JNTH_CSE
15,554,OC_GEN_UR,CBIT_CSE
16,570,OC_GEN_UR,CVRH_CSE
17,576,OC_GEN_UR,MVSR_CSE
18,584,OC_GEN_UR,SNIS_CSE
19,587,OC_GIRLS_UR,VJEC_CSE
20,598,OC_GEN_OU,CBIT_CSM
21,624,OC_GEN_UR,CVRH_CSE
22,628,OC_GEN_OU,CBIT_CSE
23,633,OC_GEN_UR,CVRH_CSE
24,635,OC_GEN_UR,MVSR_CSE
25,643,OC_GEN_OU,CBIT_CSE
26,652,OC_GEN_OU,MVSR_CSE
27,683,OC_GEN_UR,CVRH_CSM
28,692,OC_GEN_OU,JNTH_CSE
29,697,OC_GEN_UR,SNIS_CSE
30,699,BC_D_GEN_UR,CVRH_CSE
31,700,OC_GEN_OU,CBIT_CSE
32,701,OC_GIRLS_OU,CBIT_CSE
33,703,OC_GEN_UR,GRRR_CSE
34,706,OC_GIRLS_OU,JNTH_CSE
35,711,OC_GEN_OU,JNTH_ECE
36,713,OC_GEN_OU,JNTH_CSE
37,728,OC_GEN_OU,JNTH_CSE
38,734,OC_GEN_OU,CBIT_CSE
39,735,OC_GEN_UR,VASV_CSE
40,744,EWS_GEN_OU,CBIT_CSE
41,745,OC_GEN_UR,GRRR_CSE
